City,Latitude,Longitude,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
Mayo,38.8876,-76.5119,34.0,100,90,11.5,US,1612200190
Bambous Virieux,-20.3428,57.7575,82.0,89,75,8.05,MU,1612200190
East London,-33.0153,27.9116,66.2,68,20,4.61,ZA,1612200190
Tres Arroyos,-38.3739,-60.2798,68.27,44,100,6.8,AR,1612200190
Niquero,20.0431,-77.5828,82.71,58,56,7.31,CU,1612200005
Santiago del Estero,-27.7951,-64.2615,70.68,76,100,6.22,AR,1612200080
Tahoua,14.8888,5.2692,87.8,7,0,2.3,NE,1612200190
Saint-Joseph,-21.3667,55.6167,82.4,69,0,9.22,RE,1612200191
Jamestown,42.097,-79.2353,28.0,86,90,8.05,US,1612199932
Baft,29.234,56.6057,42.48,54,0,6.08,IR,1612200191
Tiksi,71.6872,128.8694,-23.57,87,100,9.55,RU,1612200191
Waterloo,43.4668,-80.5164,21.2,53,20,5.75,CA,1612200001
Geraldton,-28.7667,114.6,87.8,35,75,8.05,AU,1612200191
Tingi,-11.3,35.0333,66.63,91,100,2.44,TZ,1612200191
Atuona,-9.8,-139.0333,78.48,74,6,16.75,PF,1612200191
Kaitangata,-46.2817,169.8464,50.38,87,1,3.8,NZ,1612200192
Kapaa,22.0752,-159.319,71.6,83,75,10.36,US,1612200192
Vostok,46.4856,135.8833,-14.62,90,100,3.8,RU,1612200192
Librazhd,41.1794,20.315,50.0,93,90,2.3,AL,1612200192
Monte Patria,-30.6919,-70.9467,83.16,27,0,14.2,CL,1612200192
Walvis Bay,-22.9575,14.5053,66.99,84,5,4.0,NA,1612200192
Hjelset,62.7833,7.4833,26.6,80,90,8.05,NO,1612200192
Saint-Augustin,51.226,-58.6502,23.79,88,0,5.84,CA,1612200192
Nizhniy Tsasuchey,50.5167,115.1333,-20.36,81,44,7.27,RU,1612200193
Esil,51.9556,66.4042,8.85,91,0,6.51,KZ,1612200193
Saint-Philippe,-21.3585,55.7679,82.4,69,0,9.22,RE,1612200193
Waipawa,-41.4122,175.5153,53.6,87,36,3.44,NZ,1612200193
Saint-Louis,16.3333,-15.0,93.2,16,0,2.3,SN,1612200193
Pathein,16.7833,94.7333,69.08,64,0,8.52,MM,1612200193
Leningradskiy,69.3833,178.4167,-5.89,87,100,25.79,RU,1612200193
Avarua,-21.2078,-159.775,73.4,100,82,1.14,CK,1612200193
Norman Wells,65.282,-126.8329,-18.4,69,90,9.22,CA,1612200193
Claresholm,50.0333,-113.5852,44.6,49,79,11.5,CA,1612200193
Esim,4.8699,-2.2405,82.62,74,85,8.37,GH,1612200193
Bengkulu,-3.8004,102.2655,76.77,87,100,4.38,ID,1612200193
Husavik,66.0449,-17.3389,8.6,85,0,2.3,IS,1612200193
Yerofey Pavlovich,53.9667,121.9667,-27.83,80,100,4.18,RU,1612200193
Tsimmerbude,54.675,20.1347,24.01,80,100,4.47,RU,1612200194
Tobermory,45.2501,-81.6665,19.4,93,79,18.41,CA,1612200194
Kumluca,36.3703,30.2869,58.62,79,90,10.56,TR,1612200194
Alnāvar,15.4333,74.7333,73.09,36,0,6.96,IN,1612200066
Mar del Plata,-38.0023,-57.5575,69.8,68,75,16.11,AR,1612200004
Chokurdakh,70.6333,147.9167,-9.18,89,100,14.58,RU,1612200194
Masuri,35.8488,128.1492,41.0,40,1,12.66,KR,1612200194
Abu Dhabi,24.4667,54.3667,68.0,60,0,5.75,AE,1612200194
Mossamedes,-15.1961,12.1522,74.95,73,20,13.04,AO,1612200126
Beringovskiy,63.05,179.3167,21.74,97,100,33.6,RU,1612200194
Maţāy,28.419,30.7792,60.82,36,0,4.52,EG,1612200194
Manokwari,-0.8667,134.0833,76.77,84,100,4.83,ID,1612200194
Mount Gambier,-37.8333,140.7667,55.4,88,90,11.5,AU,1612200194
Idah,7.1065,6.7342,98.62,24,45,6.02,NG,1612200195
Jüterbog,51.9833,13.0833,30.0,63,98,1.01,DE,1612200195
Tuatapere,-46.1333,167.6833,53.62,90,14,3.71,NZ,1612200195
Antofagasta,-23.65,-70.4,73.99,68,20,16.11,CL,1612200011
Fortuna,40.5982,-124.1573,53.01,66,75,17.27,US,1612200195
Port Lincoln,-34.7333,135.8667,60.42,83,8,11.36,AU,1612200195
Wajima,37.4,136.9,48.9,77,100,23.33,JP,1612200195
Puerto del Rosario,28.5004,-13.8627,68.0,77,0,13.8,ES,1612200195
São Gabriel,-30.3364,-54.32,84.61,61,36,4.61,BR,1612200195
Barrow,71.2906,-156.7887,-20.2,76,1,12.66,US,1612200195
Bayan,46.0833,127.4,-26.07,84,4,5.46,CN,1612200195
Acaraú,-2.8856,-40.12,88.16,57,55,18.34,BR,1612200195
Kochetok,49.8801,36.7372,35.6,100,90,8.95,UA,1612200195
Lorengau,-2.0226,147.2712,78.37,77,100,10.85,PG,1612200196
Ulagan,50.6321,87.9563,16.39,80,100,0.6,RU,1612200196
Honiara,-9.4333,159.95,79.5,82,100,12.97,SB,1612200196
Los Alamos,35.8881,-106.307,36.0,47,1,4.61,US,1612200196
Swidnica,50.8438,16.4886,24.01,67,85,6.6,PL,1612200196
Carnarvon,-24.8667,113.6333,86.0,58,90,19.57,AU,1612200196
Qaanaaq,77.484,-69.3632,-10.91,80,78,5.48,GL,1612200196
Hīt,33.6416,42.8251,58.57,36,0,7.34,IQ,1612199909
São João da Barra,-21.6403,-41.0511,89.6,45,0,16.11,BR,1612200196
Tarabuco,-19.1667,-64.9167,62.04,67,78,6.87,BO,1612200196
Ban Nahin,18.2418,104.2122,67.23,77,1,4.18,LA,1612200197
Diffa,13.3154,12.6113,81.9,14,46,7.78,NE,1612200197
Funadhoo,6.15,73.2667,82.47,75,100,12.44,MV,1612200197
Sechura,-5.5569,-80.8222,82.22,52,58,12.48,PE,1612200197
Labuhan,-6.8844,112.2051,78.85,84,100,10.4,ID,1612200197
Maceió,-9.6658,-35.7353,86.0,66,40,16.11,BR,1612200180
Huarmey,-10.0681,-78.1522,75.61,65,44,10.36,PE,1612200197
Narsaq,60.9167,-46.05,33.8,60,75,1.14,GL,1612200197
Montevideo,-34.8335,-56.1674,75.2,73,90,16.11,UY,1612200065
Batavia,41.85,-88.3126,30.99,74,20,12.66,US,1612200197
Castro,-24.7911,-50.0119,74.03,89,45,10.04,BR,1612200197
Kodinsk,58.6881,99.1844,-25.73,82,96,1.77,RU,1612200198
Lixouri,38.2019,20.4314,57.2,88,40,6.91,GR,1612200198
Kawalu,-7.3817,108.2082,73.96,88,100,2.46,ID,1612200198
Shirokiy,49.758,129.523,-33.7,81,7,9.17,RU,1612200198
Kruisfontein,-34.0033,24.7314,64.99,65,77,5.99,ZA,1612200198
Maksatikha,57.797,35.8825,19.72,97,94,7.29,RU,1612200198
Lubango,-14.9172,13.4925,77.0,63,75,6.91,AO,1612200198
Béjar,40.3864,-5.7634,53.01,77,35,7.0,ES,1612200198
Okhotsk,59.3833,143.3,-20.31,77,79,15.35,RU,1612200198
Iwanai,42.9744,140.5089,37.85,82,100,14.81,JP,1612200198
Pozo Colorado,-23.4923,-58.7972,92.1,56,39,9.71,PY,1612200198
Avera,33.194,-82.5271,42.8,65,90,16.11,US,1612200198
Kieta,-6.2167,155.6333,81.41,77,96,12.24,PG,1612200198
Portland,45.5234,-122.6762,48.99,87,90,3.44,US,1612200063
Sarkand,45.41,79.9186,36.63,77,100,1.21,KZ,1612200199
Rio Rancho,35.2334,-106.6645,44.01,44,1,8.05,US,1612200096
San Quintín,30.4833,-115.95,63.18,53,100,6.82,MX,1612200199
Kastraki,39.7156,21.6181,39.99,94,57,2.55,GR,1612200199
Aasiaat,68.7098,-52.8699,4.71,94,100,3.89,GL,1612200199
Chui,-33.6971,-53.4616,77.16,79,58,13.0,UY,1612200199
Goderich,43.7501,-81.7165,19.4,58,99,8.05,CA,1612200199
Haines Junction,60.7522,-137.5108,-2.2,71,100,2.3,CA,1612200199
Arraial do Cabo,-22.9661,-42.0278,91.4,51,0,13.8,BR,1612200200
Menongue,-14.6585,17.691,70.32,81,87,4.18,AO,1612200200
Ulaangom,49.9811,92.0667,-9.69,89,100,1.68,MN,1612200200
Yelan',50.949,43.7378,35.42,98,100,14.29,RU,1612200200
Talnakh,69.4865,88.3972,-9.96,89,100,7.31,RU,1612200200
Tessalit,20.1986,1.0114,80.89,14,0,8.84,ML,1612200200
Tezu,27.9167,96.1667,59.77,46,0,3.87,IN,1612199949
Lishui,28.4604,119.9103,56.89,84,94,2.71,CN,1612200200
Jutaí,-5.1833,-68.9,85.3,71,98,1.14,BR,1612200200
Bathsheba,13.2167,-59.5167,86.0,51,40,24.16,BB,1612200200
São Félix do Xingu,-6.6447,-51.995,87.85,59,56,3.04,BR,1612200200
Damaturu,11.747,11.9608,86.52,13,2,7.18,NG,1612200200
Pemangkat,1.1667,108.9667,76.35,91,100,9.66,ID,1612200200
Korla,41.7597,86.1469,24.57,83,15,3.76,CN,1612200201
Gushikawa,26.3544,127.8686,64.4,87,1,4.61,JP,1612200201
Byron Bay,-28.65,153.6167,69.8,94,90,5.75,AU,1612200201
Bonavista,48.6499,-53.1147,30.0,86,100,4.61,CA,1612200201
Kajansi,0.2081,32.5222,77.0,53,20,13.8,UG,1612200201
Valdivia,-39.8142,-73.2459,73.4,56,40,4.61,CL,1612200201
George Town,5.4112,100.3354,82.4,78,20,2.3,MY,1612200024
Cape Town,-33.9258,18.4232,75.2,43,0,18.41,ZA,1612200027
Suda,59.1525,37.5582,24.8,93,75,11.18,RU,1612200201
Lompoc,34.6391,-120.4579,55.0,81,1,3.87,US,1612200201
La Massana,42.5667,1.4833,57.2,41,20,19.57,AD,1612200201
Coahuayana Viejo,18.7333,-103.6833,77.0,65,1,3.76,MX,1612200201
Zhigansk,66.7697,123.3711,-50.1,77,55,1.68,RU,1612200201
Salalah,17.0151,54.0924,73.4,73,0,1.14,OM,1612200202
Cherskiy,68.75,161.3,6.51,94,100,12.15,RU,1612200202
Port Hardy,50.6996,-127.4199,42.8,100,75,7.02,CA,1612200202
Huejuquilla el Alto,22.6,-103.8667,65.46,46,41,3.51,MX,1612200202
Bose,45.4612,8.0137,45.0,88,86,0.98,IT,1612200202
Buraidah,26.326,43.975,66.2,45,0,5.75,SA,1612200202
Prince Rupert,54.3161,-130.3201,39.2,93,90,5.75,CA,1612200202
Kavaratti,10.5669,72.642,82.06,69,56,3.71,IN,1612200202
Arawa,-6.2132,155.5367,79.2,79,93,5.77,PG,1612200202
Arrondissement d'Ajaccio,42.0,8.9167,55.4,88,75,6.91,FR,1612200202
Nanortalik,60.1432,-45.2371,30.25,92,46,1.95,GL,1612200202
Lake City,30.1897,-82.6393,48.99,66,90,12.66,US,1612200202
Carandaí,-20.9536,-43.8064,80.6,54,40,10.36,BR,1612200202
Ajdabiya,30.7554,20.2263,60.94,68,0,9.33,LY,1612200202
Belmonte,-15.8631,-38.8828,82.4,83,75,6.91,BR,1612200203
Denpasar,-8.65,115.2167,80.6,89,40,10.38,ID,1612200122
Alta Floresta,-9.8756,-56.0861,84.27,78,47,4.34,BR,1612200203
Yangi Marg`ilon,40.4272,71.7189,41.0,60,42,6.91,UZ,1612200203
Vao,-22.6667,167.4833,75.31,80,100,24.43,NC,1612200203
Paamiut,61.994,-49.6678,19.51,92,31,14.27,GL,1612200203
Codrington,-38.2667,141.9667,55.6,85,26,11.23,AU,1612200203
Katsuura,35.1333,140.3,62.01,77,75,26.46,JP,1612200203
Pushkino,56.0172,37.8667,26.6,68,0,8.95,RU,1612200203
Varadero,23.1536,-81.2514,78.8,69,40,16.11,CU,1612200024
Mitsamiouli,-11.3847,43.2844,83.52,67,100,3.18,KM,1612200203
Gdynia,54.5189,18.5319,28.99,74,100,10.36,PL,1612200091
Kasempa,-13.4584,25.8338,68.59,89,100,1.7,ZM,1612200203
Vanavara,60.34,102.2797,-37.17,82,0,3.6,RU,1612200203
Price,39.5994,-110.8107,26.6,74,75,0.67,US,1612200204
Dodge City,37.7528,-100.0171,52.0,46,1,13.8,US,1612199955
Amapá,1.0,-52.0,84.09,70,67,4.65,BR,1612200204
Pisco,-13.7,-76.2167,75.0,68,0,8.05,PE,1612200204
Japura,-0.3167,102.35,74.17,95,92,2.86,ID,1612200204
Kavieng,-2.5744,150.7967,81.97,76,100,13.8,PG,1612200204
Peru,40.7537,-86.0689,28.4,86,75,16.11,US,1612200204
Kangasala,61.4638,24.076,14.0,92,90,1.14,FI,1612200204
Ilulissat,69.2167,-51.1,8.6,72,75,5.75,GL,1612200204
Pevek,69.7008,170.3133,0.86,89,100,8.72,RU,1612200204
Bījār,35.8668,47.6051,30.79,94,0,3.87,IR,1612200205
Dolores,-36.3132,-57.6792,70.75,71,99,16.98,AR,1612200205
Hrádek,49.7132,13.653,37.0,63,81,2.55,CZ,1612200205
Gamba,-2.65,10.0,81.41,77,34,7.23,GA,1612200205
Karoi,-16.8099,29.6925,69.03,96,99,5.26,ZW,1612200205
Newport,51.5877,-2.9984,39.99,95,63,4.76,GB,1612200205
Nouadhibou,20.931,-17.0347,71.6,68,13,14.97,MR,1612200205
Lamu,-2.2717,40.902,78.8,78,1,9.22,KE,1612200205
Lebu,-37.6167,-73.65,62.78,73,57,15.37,CL,1612200205
Changping,40.2186,116.2197,21.0,23,0,13.42,CN,1612200205
Porto-Novo,6.4965,2.6036,86.0,84,20,12.66,BJ,1612200205
Masallātah,32.6167,14.0,59.4,48,60,7.87,LY,1612199955
Necochea,-38.5473,-58.7368,66.99,67,100,5.99,AR,1612200205
Kahului,20.8947,-156.47,69.8,78,40,6.91,US,1612200206
Villa Bruzual,9.3328,-69.1208,94.05,33,75,4.65,VE,1612200206
Souillac,-20.5167,57.5167,80.6,89,75,8.05,MU,1612200206
Adrar,20.5022,-10.0711,84.58,12,92,8.52,MR,1612200206
Carauari,-4.8828,-66.8958,84.31,83,84,0.69,BR,1612200188
Ancud,-41.8697,-73.8203,68.0,60,0,11.5,CL,1612200206
Omboué,-1.5746,9.2618,81.93,74,92,5.64,GA,1612200206
Camocim,-2.9022,-40.8411,88.32,58,37,15.57,BR,1612200206
Khandyga,62.6667,135.6,-55.26,67,96,0.47,RU,1612200206
Krasnogvardeyets,52.6804,52.3635,22.03,95,99,5.57,RU,1612200207
Taoudenni,22.6783,-3.9836,85.66,14,4,15.05,ML,1612200207
Vila,42.0304,-8.1588,51.01,95,96,8.05,PT,1612200207
Finnsnes,69.2296,17.9811,17.6,93,75,5.66,NO,1612200207
Kattivākkam,13.2167,80.3167,78.8,73,40,10.36,IN,1612200207
San-Pédro,4.7485,-6.6363,81.19,83,92,8.34,CI,1612200207
Rocha,-34.4833,-54.3333,73.76,82,94,14.0,UY,1612199948
Shubarkuduk,49.1447,56.4872,28.71,98,100,3.83,KZ,1612200207
Phan Thiet,10.9333,108.1,70.79,83,41,8.1,VN,1612200207
Coolum Beach,-26.5333,153.1,72.0,97,45,1.99,AU,1612200207
Pouembout,-21.1333,164.9,74.01,83,100,4.61,NC,1612200207
Ketchikan,55.3422,-131.6461,35.6,93,90,3.44,US,1612200207
Havøysund,70.9963,24.6622,26.6,93,90,3.44,NO,1612200129
Campos do Jordão,-22.7394,-45.5914,89.6,37,40,3.44,BR,1612200208
Gizo Government Station,-8.103,156.8419,84.09,74,94,16.33,SB,1612200208
Tasiilaq,65.6145,-37.6368,15.8,73,75,2.3,GL,1612200208
Oktyabr'skoye,43.0645,44.7417,32.0,100,40,8.95,RU,1612200208
Tunduma,-9.3,32.7667,61.92,98,98,1.72,TZ,1612200208
Kutum,14.2,24.6667,72.43,21,23,7.18,SD,1612200208
Saskylakh,71.9167,114.0833,-29.31,84,77,6.96,RU,1612200208
Severo-Kuril'sk,50.6789,156.125,19.22,93,95,33.44,RU,1612200208
Al Bardīyah,31.7561,25.0865,68.18,30,94,11.7,LY,1612200208
Madikeri,12.4167,75.7333,62.51,50,0,2.95,IN,1612200208
Manoel Urbano,-8.8389,-69.2597,93.67,43,64,3.69,BR,1612200208
Giyani,-23.3025,30.7187,82.76,62,91,5.73,ZA,1612200208
Izumo,35.3667,132.7667,46.4,87,75,2.3,JP,1612200208
Nishihara,26.1842,127.7558,64.4,55,20,4.99,JP,1612200209
Ahipara,-35.1667,173.1667,57.33,88,1,4.85,NZ,1612200188
High Level,58.5169,-117.136,-4.0,77,90,12.66,CA,1612200209
West Bay,19.3667,-81.4167,82.99,69,40,6.91,KY,1612200209
Aksarka,66.5606,67.7975,14.43,96,100,13.71,RU,1612200209
Soyo,-6.1349,12.3689,82.04,81,46,11.43,AO,1612200209
Sept-Îles,50.2001,-66.3821,24.8,42,0,1.14,CA,1612200209
Sibolga,1.7427,98.7792,77.04,84,98,3.22,ID,1612200209
Kangaatsiaq,68.3065,-53.4641,11.14,96,100,31.9,GL,1612200209
Ust-Tsilma,65.441,52.1498,23.81,96,100,15.32,RU,1612200209
Quatre Cocos,-20.2078,57.7625,82.0,89,75,8.05,MU,1612200209
San Patricio,28.017,-97.5169,62.6,36,20,12.66,US,1612200209
Guerrero Negro,27.9769,-114.0611,67.33,38,96,8.3,MX,1612200209
San Cristobal,7.7669,-72.225,86.0,51,40,24.16,VE,1612200209
Petropavlovsk-Kamchatskiy,53.0452,158.6483,17.6,53,100,17.9,RU,1612200210
Mahenge,-8.6833,36.7167,65.73,100,36,2.86,TZ,1612200210
Andros Town,24.7,-77.7667,78.8,65,40,16.11,BS,1612200210
Åmot,59.5714,7.9877,21.2,86,75,2.3,NO,1612200210
Ballinrobe,53.6333,-9.2333,46.99,3,100,6.15,IE,1612200210
Lima,-12.0432,-77.0282,77.0,61,0,4.61,PE,1612200102
Tokur,53.1333,132.9,-41.82,83,55,0.83,RU,1612200210
Iqaluit,63.7506,-68.5145,-13.0,64,75,8.05,CA,1612200210
Wynyard,-41.0,145.7167,52.0,77,2,11.99,AU,1612200210
Marzuq,14.4,46.4667,63.01,39,0,1.5,YE,1612200210
Marawi,7.9986,124.2928,73.99,94,100,4.0,PH,1612200210
Sola,-13.8833,167.55,81.41,83,98,25.99,VU,1612200210
Santarém,-2.4431,-54.7083,86.0,70,40,11.5,BR,1612200211
High Prairie,55.4334,-116.4858,6.8,85,97,4.61,CA,1612200211
Bucerías,20.75,-105.3333,75.2,64,1,3.47,MX,1612200211
Gouré,13.9835,10.2704,80.01,10,1,1.01,NE,1612200211
Upernavik,72.7868,-56.1549,2.68,92,100,6.06,GL,1612200211
Talladega,33.4359,-86.1058,39.2,65,90,16.11,US,1612200211
Laguna,38.421,-121.4238,55.99,71,1,3.44,US,1612200212
Clarence Town,-32.5833,151.7833,68.0,100,75,10.36,AU,1612200212
Camaquã,-30.8511,-51.8122,85.46,63,54,3.0,BR,1612200212
Ixtapa,20.7,-105.2,75.2,64,1,3.13,MX,1612200212
Xichang,27.8964,102.2634,43.48,61,0,1.45,CN,1612200212
Los Llanos de Aridane,28.6585,-17.9182,69.8,78,0,12.66,ES,1612200141
Tomatlán,19.9333,-105.25,87.03,44,33,4.16,MX,1612200212
Puerto Ayora,-0.7393,-90.3518,86.0,66,0,11.5,EC,1612200212
Banjar,-8.19,114.9675,80.6,89,40,1.1,ID,1612200213
Amazar,53.858,120.875,-26.64,80,100,4.76,RU,1612200213
Formosa do Rio Preto,-11.0483,-45.1931,90.14,38,25,5.32,BR,1612200213
Saldanha,-33.0117,17.9442,80.6,34,0,16.11,ZA,1612200213
Magugu,-4.0167,35.7667,72.55,50,97,3.24,TZ,1612200213
Faanui,-16.4833,-151.75,80.87,75,100,12.66,PF,1612200213
Turmalina,-17.2856,-42.73,83.73,53,100,4.72,BR,1612200213
Marabu,4.4148,114.0089,77.0,100,40,4.61,MY,1612200213
Makkah al Mukarramah,21.4267,39.8261,76.24,64,0,6.4,SA,1612200213
Muros,42.7762,-9.0603,57.99,94,100,10.0,ES,1612200213
Klaksvík,62.2266,-6.589,30.2,86,63,26.06,FO,1612200213
Praia da Vitória,38.7333,-27.0667,66.2,63,40,21.03,PT,1612200213
Lonavla,18.75,73.4167,80.6,61,40,4.61,IN,1612200214
City of San Pedro,14.35,121.0167,77.0,73,75,2.3,PH,1612200214
Amahai,-3.3333,128.9167,79.23,78,99,4.59,ID,1612200214
Vangaindrano,-23.35,47.6,79.79,87,9,7.65,MG,1612200214
Pauini,-7.7136,-66.9764,88.63,62,93,2.62,BR,1612200214
Tautira,-17.7333,-149.15,80.6,65,20,3.44,PF,1612200214
Solton,52.8429,86.4787,10.2,92,100,2.21,RU,1612200214
Samaná,19.2056,-69.3369,82.4,78,20,5.75,DO,1612200214
Departamento de Maldonado,-34.6667,-54.9167,73.99,94,75,13.8,UY,1612200214
Tiznit Province,29.5833,-9.5,74.79,35,0,5.03,MA,1612200214
Bagdarin,54.4333,113.6,-27.45,77,0,4.34,RU,1612200214
Sirte,31.2089,16.5887,62.04,48,55,3.65,LY,1612200214
Broome,42.2506,-75.833,27.0,85,100,4.0,US,1612200214
Luleå,65.5842,22.1547,6.8,92,40,3.44,SE,1612200016
Dingle,10.9995,122.6711,74.41,91,49,8.63,PH,1612200215
Oistins,13.0667,-59.5333,86.0,51,40,24.16,BB,1612200215
Camargo,27.6667,-105.1667,57.43,35,22,5.75,MX,1612200215
Sitka,57.0531,-135.33,35.6,64,75,8.05,US,1612200215
Achacachi,-16.05,-68.6833,52.5,67,100,8.3,BO,1612200215
Kholodnyy,62.7167,147.95,-24.09,83,100,3.87,RU,1612200215
Charters Towers,-20.1,146.2667,72.03,87,81,6.73,AU,1612200215
Kropotkin,45.4375,40.5756,46.26,68,100,8.05,RU,1612200215
Biharia,47.15,21.9167,34.0,100,75,5.75,RO,1612200215
Storforshei,66.4043,14.5233,8.01,84,0,1.14,NO,1612200215
Dauriya,49.9333,116.8667,-27.29,82,66,5.32,RU,1612200215
Alihe,50.5667,123.7167,-23.35,78,42,7.99,CN,1612200215
Catherinas Lust,6.4,-57.6,82.62,65,100,11.32,GY,1612200215
Anshun,26.25,105.9333,44.51,91,97,5.41,CN,1612200133
Odienné,9.51,-7.5692,97.0,9,0,4.21,CI,1612200216
Chancay,-11.5714,-77.2672,77.0,61,0,4.61,PE,1612200216
Faya,18.3851,42.4509,60.8,88,0,5.75,SA,1612200216
Sturgeon Bay,44.8342,-87.377,32.0,64,1,4.61,US,1612200216
College,64.8569,-147.8028,-18.4,63,1,3.44,US,1612200216
Casper,42.8666,-106.3131,37.4,38,1,20.71,US,1612200216
Tual,-5.6667,132.75,82.51,74,96,11.39,ID,1612200216
Lata,40.1629,-8.3327,57.99,92,96,1.01,PT,1612200216
