,City,Latitude,Longitude,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
357,Lianhe,47.1333,129.2667,255.58,85,100,1.61,CN,1612149990
358,Mwanza,-2.5167,32.9,294.15,88,20,2.57,TZ,1612149990
359,Tashla,51.7716,52.7427,272.15,98,100,4.52,RU,1612149990
360,Sitka,57.0531,-135.33,275.15,64,1,1.54,US,1612149990
361,Brest,52.1,23.7,259.15,100,52,2.23,BY,1612149991
362,Pathein,16.7833,94.7333,301.36,40,11,3.79,MM,1612149991
363,Katsuura,35.1333,140.3,283.71,56,75,2.57,JP,1612149991
364,Kushiro,42.975,144.3747,270.15,74,20,3.09,JP,1612149959
365,Beatrice,40.2681,-96.747,269.26,93,1,2.98,US,1612149991
366,Vao,-22.6667,167.4833,297.54,76,100,10.96,NC,1612149991
367,Buraidah,26.326,43.975,284.15,62,0,2.57,SA,1612149877
368,Gravdal,68.1214,13.5031,272.86,92,100,7.38,NO,1612149991
369,Litovko,49.2361,135.1742,250.66,89,100,2.68,RU,1612149991
370,Lhokseumawe,5.1801,97.1507,300.79,74,76,2.14,ID,1612149991
371,Yuzhno-Kurilsk,44.0306,145.8556,270.06,85,3,4.8,RU,1612149991
372,Sobolevo,54.4299,31.8996,263.96,97,96,4.21,RU,1612149991
373,Iracoubo,5.4802,-53.2011,298.67,80,99,6.34,GF,1612149991
374,Bairiki Village,1.3292,172.9752,303.15,70,20,5.14,KI,1612149991
375,Pachino,36.7186,15.0907,284.15,93,75,6.17,IT,1612149992
376,Taoudenni,22.6783,-3.9836,292.21,24,8,3.97,ML,1612149864
377,Bereda,43.2686,-7.5406,284.82,85,95,5.36,ES,1612149992
378,Cidreira,-30.1811,-50.2056,296.68,92,100,2.73,BR,1612149852
379,Ndélé,8.4109,20.6473,295.65,22,0,2.45,CF,1612149992
380,Gumia,23.7833,85.8167,288.87,35,0,2.2,IN,1612149992
381,Mountain Home,43.133,-115.6912,278.15,56,90,4.59,US,1612149992
382,Sangar,63.9242,127.4739,230.2,77,84,1.39,RU,1612149992
383,Kynšperk nad Ohří,50.1189,12.5303,266.48,71,100,0.45,CZ,1612149992
384,Mossamedes,-15.1961,12.1522,295.94,71,90,1.61,AO,1612149992
385,Angola,-12.5,18.5,289.66,96,100,1.85,AO,1612149992
386,La Ronge,55.1001,-105.2842,265.15,86,27,2.57,CA,1612149992
387,Kaitangata,-46.2817,169.8464,293.15,61,9,4.92,NZ,1612149898
388,Kargil,34.5667,76.1,255.52,86,89,0.74,IN,1612149992
389,Olafsvik,64.8945,-23.7142,273.0,93,100,5.14,IS,1612149993
390,Hamilton,39.1834,-84.5333,274.15,86,90,5.66,US,1612149844
391,Vila Franca do Campo,37.7167,-25.4333,289.82,94,75,9.26,PT,1612149993
392,Stara Syniava,49.6032,27.6191,266.97,98,100,2.75,UA,1612149993
393,Olinda,-8.0089,-34.8553,299.15,73,40,2.06,BR,1612149993
394,Fort Frances,48.5999,-93.4003,269.15,80,90,3.09,CA,1612149993
395,Atakpamé,7.5333,1.1333,297.08,83,0,1.2,TG,1612149993
396,Benguela,-12.5763,13.4055,296.49,79,100,1.58,AO,1612149993
397,Örnsköldsvik,63.2909,18.7153,261.15,92,95,4.12,SE,1612149730
398,Baykit,61.67,96.37,241.48,78,94,0.57,RU,1612149993
399,Maniitsoq,65.4167,-52.9,262.14,78,0,2.43,GL,1612149994
400,Hanzhong,33.0728,107.0303,284.32,43,0,0.81,CN,1612149994
401,Korla,41.7597,86.1469,269.75,77,87,2.13,CN,1612149994
402,Antalaha,-14.9003,50.2788,297.25,82,100,2.38,MG,1612149894
403,Hokitika,-42.7167,170.9667,291.4,68,96,5.3,NZ,1612149994
404,Hueyapan,18.8667,-98.6667,287.79,41,0,3.89,MX,1612149994
405,Khanbari,27.3747,87.2039,287.19,41,8,0.44,NP,1612149994
406,Palauig,15.435,119.9045,300.2,58,9,1.57,PH,1612149994
407,Avera,33.194,-82.5271,281.15,97,90,2.27,US,1612149994
408,Wajima,37.4,136.9,281.15,36,0,1.03,JP,1612149994
409,Jieshi,22.8134,115.8257,294.82,73,43,2.03,CN,1612149994
410,Huarmey,-10.0681,-78.1522,294.5,81,83,3.71,PE,1612149994
411,Piaçabuçu,-10.4056,-36.4344,298.7,79,63,4.24,BR,1612149995
412,Mahon,39.8885,4.2658,286.15,82,20,3.09,ES,1612149995
413,Berdigestyakh,62.0989,126.6992,233.23,79,100,2.76,RU,1612149995
414,Bedelē,8.456,36.353,284.61,77,81,0.47,ET,1612149995
415,Río Gallegos,-51.6226,-69.2181,287.15,51,0,3.09,AR,1612149995
416,Ola,59.5833,151.2833,247.87,81,87,6.17,RU,1612149995
417,Saint Anthony,45.0205,-93.218,272.59,69,90,4.63,US,1612149995
418,Shubarshi,48.5872,57.1869,263.78,92,3,2.76,KZ,1612149995
419,Great Yarmouth,52.6083,1.7305,277.04,93,90,3.09,GB,1612149995
420,Muros,42.7762,-9.0603,287.59,84,86,4.47,ES,1612149995
421,Praia da Vitória,38.7333,-27.0667,291.15,100,75,13.42,PT,1612149850
422,Balclutha,-46.2339,169.75,293.15,61,12,4.92,NZ,1612149995
423,Caxito,-8.5785,13.6643,299.15,83,20,2.57,AO,1612149995
424,Bambous Virieux,-20.3428,57.7575,301.15,74,40,5.14,MU,1612149996
425,Nautla,20.2167,-96.7833,295.12,90,12,1.74,MX,1612149996
426,Iralaya,15.0,-83.2333,298.34,86,6,4.44,HN,1612149996
427,Liwale,-9.7667,37.9333,293.68,97,100,2.06,TZ,1612149996
428,Havelock,34.8791,-76.9013,286.48,95,100,2.16,US,1612149996
429,Kawalu,-7.3817,108.2082,304.14,55,92,0.76,ID,1612149996
430,Scarborough,54.2797,-0.4044,275.93,76,91,0.89,GB,1612149997
431,Along,28.1667,94.7667,288.82,37,5,0.32,IN,1612149997
432,Porbandar,21.6422,69.6093,286.15,62,0,3.09,IN,1612149997
433,San Jerónimo,-11.9472,-75.2829,282.69,73,100,1.04,PE,1612149997
434,Moose Factory,51.2585,-80.6094,256.15,85,90,1.54,CA,1612149997
435,Aklavik,68.2191,-135.0107,244.15,76,100,2.57,CA,1612149997
436,Alofi,-19.0595,-169.9187,299.15,89,90,4.12,NU,1612149827
437,Kismayo,-0.3582,42.5454,296.89,84,95,5.54,SO,1612149997
438,Marsh Harbour,26.5412,-77.0636,295.3,77,88,7.97,BS,1612149997
439,Rach Gia,10.0167,105.0833,301.15,89,20,2.57,VN,1612149997
440,Tefé,-3.3542,-64.7114,296.98,97,100,0.19,BR,1612149997
441,Quelimane,-17.8786,36.8883,299.15,94,75,1.54,MZ,1612149997
442,Arman',59.7,150.1667,247.72,78,41,6.07,RU,1612149998
443,Tolú,9.5239,-75.5814,299.24,77,95,2.9,CO,1612149998
444,Gambēla,8.25,34.5833,298.9,40,26,1.59,ET,1612149998
445,Scottsbluff,41.8666,-103.6672,268.15,63,1,1.54,US,1612149998
446,Malysheva,57.1185,61.4035,264.15,92,4,2.0,RU,1612149998
447,Tiznit Province,29.5833,-9.5,288.85,54,0,0.21,MA,1612149998
448,Djebeniana,35.035,10.9081,281.15,66,20,1.54,TN,1612149998
449,Marzuq,14.4,46.4667,285.29,47,14,0.87,YE,1612149998
450,Meulaboh,4.1363,96.1285,301.35,69,76,1.72,ID,1612149998
451,Darnah,32.767,22.6367,289.66,43,49,12.21,LY,1612149998
452,Misratah,32.3754,15.0925,287.62,67,0,7.2,LY,1612149998
453,Pisco,-13.7,-76.2167,293.71,77,0,4.63,PE,1612149998
454,Santa Maria,-29.6842,-53.8069,295.15,100,20,0.51,BR,1612149999
455,Aranos,-24.1333,19.1167,295.14,22,100,6.05,NA,1612149999
456,Rawson,-43.3002,-65.1023,294.26,44,3,9.92,AR,1612149999
457,Ancud,-41.8697,-73.8203,285.93,87,0,2.57,CL,1612149999
458,Ambilobe,-13.2,49.05,295.55,91,85,1.19,MG,1612149868
459,Lázaro Cárdenas,17.9583,-102.2,297.33,79,0,1.17,MX,1612149999
460,Turochak,52.2576,87.1224,258.83,90,70,1.63,RU,1612149999
461,Playa Vicente,17.8333,-95.8167,293.83,95,1,2.38,MX,1612149999
462,San Matías,-16.3667,-58.4,297.68,83,2,2.29,BO,1612149999
463,Hasaki,35.7333,140.8333,281.15,57,40,1.03,JP,1612149999
464,Yabrūd,33.9674,36.6574,279.15,93,0,1.54,SY,1612149999
465,Yongchang,30.0381,119.7317,285.37,87,100,3.13,CN,1612149999
466,Samarai,-10.6167,150.6667,302.67,71,59,3.64,PG,1612149789
467,Chabahar,25.2919,60.643,292.99,75,0,2.58,IR,1612150000
468,East Angus,45.4834,-71.6658,252.15,84,1,2.57,CA,1612150000
469,Tahoua,14.8888,5.2692,290.15,22,0,3.09,NE,1612150000
470,Guerrero Negro,27.9769,-114.0611,290.96,58,100,4.45,MX,1612149820
471,Kuandian,40.7286,124.7847,270.36,93,42,4.71,CN,1612150000
472,Dunedin,-45.8742,170.5036,290.45,62,70,4.46,NZ,1612150000
473,Peschanokopskoye,46.1961,41.0775,276.91,91,100,2.44,RU,1612150000
474,Sisimiut,66.9395,-53.6735,259.31,79,71,3.45,GL,1612150001
475,Tommot,58.9564,126.2925,236.28,78,100,4.32,RU,1612150001
476,Namatanai,-3.6667,152.4333,302.35,75,100,4.27,PG,1612150001
477,Hindoria,23.9,79.5667,287.56,34,0,0.74,IN,1612150001
478,Playas,-2.6333,-80.3833,299.27,79,94,5.78,EC,1612150001
479,Palmas,-10.2128,-48.3603,297.15,94,20,2.06,BR,1612150001
480,Raja,8.4596,25.678,290.78,28,35,1.22,SS,1612150001
481,Gīdolē,5.65,37.3667,286.58,59,19,2.6,ET,1612150001
482,San Luis,-33.295,-66.3356,285.77,88,30,4.99,AR,1612149911
483,Ginir,7.1333,40.7,284.95,45,0,1.71,ET,1612150001
484,San Fernando del Valle de Catamarca,-28.4696,-65.7852,293.71,93,99,0.89,AR,1612149764
485,Caronport,50.4501,-105.8179,259.15,92,70,3.6,CA,1612150001
486,Magdug,6.5476,126.0951,300.28,79,100,3.84,PH,1612150002
487,Grootfontein,-19.5667,18.1167,292.15,88,75,0.51,NA,1612150002
488,Luau,-10.7073,22.2247,291.8,97,100,1.6,AO,1612150002
489,Coyhaique,-45.5752,-72.0662,287.15,62,0,2.06,CL,1612150002
490,Inuvik,68.3499,-133.7218,244.15,76,100,2.57,CA,1612150002
491,Martapura,-3.4167,114.85,299.15,89,75,3.6,ID,1612150002
492,Meadow Lake,34.8014,-106.5436,280.15,31,40,3.09,US,1612150002
493,Teguise,29.0605,-13.564,290.15,82,0,4.63,ES,1612150002
494,Carinhanha,-14.3047,-43.765,298.67,50,43,2.43,BR,1612150002
495,Oriximiná,-1.7656,-55.8661,298.44,79,73,0.96,BR,1612149959
496,Muroto-misakicho,33.2833,134.15,284.15,66,75,4.12,JP,1612150002
497,Pran Buri,12.3847,99.9098,302.15,54,2,3.6,TH,1612150002
498,Manicoré,-5.8092,-61.3003,296.15,100,0,2.06,BR,1612150003
499,Eureka,40.8021,-124.1637,285.93,85,100,3.13,US,1612150003
500,Shelburne,44.0787,-80.2041,263.15,62,1,2.57,CA,1612150003
501,Manadhoo,5.7667,73.3833,301.18,70,100,4.12,MV,1612150003
502,Caravelas,-17.7125,-39.2481,297.05,86,0,2.48,BR,1612150003
503,Ponta Delgada,37.7333,-25.6667,289.82,94,75,9.26,PT,1612150003
504,Marabu,4.4148,114.0089,303.15,79,40,3.09,MY,1612150003
505,Luang Prabang,19.8856,102.1347,292.15,82,75,2.06,LA,1612150003
506,Buritis,-15.6178,-46.4233,295.55,69,73,0.73,BR,1612150003
507,Krasnoturansk,54.3186,91.5639,244.15,76,22,1.38,RU,1612150003
508,Hjørring,57.4642,9.9823,273.15,100,75,5.14,DK,1612149955
509,Aksarka,66.5606,67.7975,248.46,89,100,2.95,RU,1612150003
510,Băgaciu,46.2667,24.3667,275.37,100,75,2.06,RO,1612150003
511,Phalaborwa,-23.943,31.1411,296.15,94,98,1.54,ZA,1612150003
512,Barranquilla,10.9639,-74.7964,298.15,83,0,6.17,CO,1612150004
513,Mairana,-18.1167,-63.9333,289.02,100,97,0.93,BO,1612150004
514,Mahon,39.8885,4.2658,286.15,82,20,3.09,ES,1612150004
515,Aviemore,57.1955,-3.8259,272.04,93,20,1.03,GB,1612150004
516,Richards Bay,-28.783,32.0377,298.06,91,100,7.64,ZA,1612150004
517,Talnakh,69.4865,88.3972,246.15,78,100,4.07,RU,1612150004
518,Obo,5.3998,26.4869,293.89,25,75,2.27,CF,1612150004
519,Burnie,-41.0667,145.9167,291.86,84,100,1.31,AU,1612150004
520,Lima,-12.0432,-77.0282,296.48,77,0,4.63,PE,1612150005
521,Sakaiminato,35.55,133.2333,286.15,54,90,6.17,JP,1612150005
522,Boca del Monte,19.15,-96.8167,297.59,83,40,7.72,MX,1612150005
523,Adeje,28.1227,-16.726,291.15,72,20,2.06,ES,1612150005
524,Thomasville,35.8826,-80.082,273.71,94,100,3.36,US,1612149847
525,Rome,43.2128,-75.4557,264.26,62,1,3.6,US,1612150005
526,Kieta,-6.2167,155.6333,302.96,74,43,6.31,PG,1612150005
527,Sergeevka,53.88,67.4158,256.77,90,0,1.15,KZ,1612150005
528,Puerto Cabezas,14.0351,-83.3888,297.42,88,35,3.69,NI,1612150005
529,Ratnagiri,16.9833,73.3,298.65,41,15,2.64,IN,1612150005
530,Séguéla,7.9611,-6.6731,295.06,63,0,2.28,CI,1612150005
531,Jasper,37.2001,-94.3502,275.15,75,90,6.17,US,1612150005
532,Daru,-9.0763,143.2092,301.86,81,93,4.41,PG,1612150005
533,Kiryat Gat,31.61,34.7642,284.82,100,0,1.34,IL,1612150006
534,Vestmannaeyjar,63.4427,-20.2734,273.77,87,99,8.0,IS,1612150006
535,Gourcy,13.2167,-2.35,293.92,20,53,4.06,BF,1612150006
536,Aitape,-3.1374,142.3475,298.08,89,100,3.6,PG,1612149788
537,Okhotsk,59.3833,143.3,249.92,80,14,7.16,RU,1612150006
538,San Felipe,10.3399,-68.7425,295.39,91,97,2.08,VE,1612150006
539,Laguna,38.421,-121.4238,286.15,67,20,2.02,US,1612150006
540,Rosarito,32.3333,-117.0333,288.15,77,75,0.9,MX,1612150006
541,Maunabo,18.0072,-65.8993,297.59,87,10,3.13,PR,1612150006
542,Aswān,24.0934,32.907,285.78,47,0,3.01,EG,1612150006
543,Dingli,35.8614,14.3822,287.15,72,20,9.26,MT,1612150006
544,Broome,42.2506,-75.833,268.15,86,90,4.12,US,1612150006
545,Kangaatsiaq,68.3065,-53.4641,257.1,93,100,4.63,GL,1612150006
546,Beringovskiy,63.05,179.3167,264.24,96,100,14.58,RU,1612150006
547,Otavi,-19.65,17.3333,291.71,79,100,1.03,NA,1612150006
548,Sorong,-0.8833,131.25,302.08,74,99,3.58,ID,1612150006
549,Isangel,-19.55,169.2667,304.15,66,75,2.57,VU,1612150007
550,Sri Aman,1.2376,111.4621,298.15,94,40,1.03,MY,1612150007
551,Ormara,25.2088,64.6357,292.98,76,0,1.45,PK,1612150007
552,Deputatsky,69.3,139.9,242.29,88,100,1.05,RU,1612150007
553,Benghazi,32.1167,20.0667,290.37,72,99,3.52,LY,1612150007
554,Tarbagatay,51.4803,107.3602,245.15,63,100,1.79,RU,1612150007
555,Yulara,-25.2406,130.9889,308.15,20,40,8.75,AU,1612149843
556,Tiarei,-17.5333,-149.3333,303.15,62,75,4.63,PF,1612150007
557,Woodward,36.4337,-99.3904,275.15,60,1,2.06,US,1612150008
558,Krasnogorsk,55.8225,37.3181,270.15,80,75,9.0,RU,1612150008
559,Cuamba,-14.8031,36.5372,294.05,97,100,2.28,MZ,1612150008
